$ ./lcg32 | dieharder -a -g 200                                                
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  2.24e+07  | 296235163|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.00379010|   WEAK   
      diehard_operm5|   0|   1000000|     100|0.51126844|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.60868690|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.00000000|  FAILED  
   diehard_bitstream|   0|   2097152|     100|0.00000000|  FAILED  
        diehard_opso|   0|   2097152|     100|0.00000000|  FAILED  
        diehard_oqso|   0|   2097152|     100|0.00000000|  FAILED  
         diehard_dna|   0|   2097152|     100|0.00000000|  FAILED  
diehard_count_1s_str|   0|    256000|     100|0.00000000|  FAILED  
diehard_count_1s_byt|   0|    256000|     100|0.00000000|  FAILED  
 diehard_parking_lot|   0|     12000|     100|0.86481685|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.12545331|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.05297375|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.64269108|  PASSED  
        diehard_sums|   0|       100|     100|0.40799647|  PASSED  
        diehard_runs|   0|    100000|     100|0.13424531|  PASSED  
        diehard_runs|   0|    100000|     100|0.99993597|   WEAK   
       diehard_craps|   0|    200000|     100|0.55166758|  PASSED  
       diehard_craps|   0|    200000|     100|0.70397742|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
         sts_monobit|   1|    100000|     100|0.00646091|  PASSED  
            sts_runs|   2|    100000|     100|0.03649399|  PASSED  
          sts_serial|   1|    100000|     100|0.28888910|  PASSED  
          sts_serial|   2|    100000|     100|0.00000002|  FAILED  
          sts_serial|   3|    100000|     100|0.00000000|  FAILED  
          sts_serial|   3|    100000|     100|0.00000000|  FAILED  
          sts_serial|   4|    100000|     100|0.00000000|  FAILED  
          sts_serial|   4|    100000|     100|0.00000000|  FAILED  
          sts_serial|   5|    100000|     100|0.00000000|  FAILED  
          sts_serial|   5|    100000|     100|0.00000000|  FAILED  
          sts_serial|   6|    100000|     100|0.00000000|  FAILED  
          sts_serial|   6|    100000|     100|0.00000000|  FAILED  
          sts_serial|   7|    100000|     100|0.00000000|  FAILED  
          sts_serial|   7|    100000|     100|0.00000000|  FAILED  
          sts_serial|   8|    100000|     100|0.00000000|  FAILED  
          sts_serial|   8|    100000|     100|0.00000000|  FAILED  
