$ ./ranoise32_old | dieharder -a -g 200                                        
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  2.81e+07  | 285264046|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.49498196|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.99373227|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.67537941|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.89323004|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.21673236|  PASSED  
        diehard_opso|   0|   2097152|     100|0.90358818|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.88617317|  PASSED  
         diehard_dna|   0|   2097152|     100|0.51136662|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.96852736|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.03381436|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.79360041|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.79208423|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.74742363|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.78501173|  PASSED  
        diehard_sums|   0|       100|     100|0.52166244|  PASSED  
        diehard_runs|   0|    100000|     100|0.43891463|  PASSED  
        diehard_runs|   0|    100000|     100|0.76694203|  PASSED  
       diehard_craps|   0|    200000|     100|0.65439105|  PASSED  
       diehard_craps|   0|    200000|     100|0.90733189|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.64881034|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.31967138|  PASSED  
         sts_monobit|   1|    100000|     100|0.26334806|  PASSED  
            sts_runs|   2|    100000|     100|0.84365187|  PASSED  
          sts_serial|   1|    100000|     100|0.97040590|  PASSED  
          sts_serial|   2|    100000|     100|0.29607999|  PASSED  
          sts_serial|   3|    100000|     100|0.68089751|  PASSED  
          sts_serial|   3|    100000|     100|0.33201069|  PASSED  
          sts_serial|   4|    100000|     100|0.23474186|  PASSED  
          sts_serial|   4|    100000|     100|0.57766352|  PASSED  
          sts_serial|   5|    100000|     100|0.71291871|  PASSED  
