#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  1.43e+07  |1037487653|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.59430041|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.26160938|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.63554609|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.65021447|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.99306971|  PASSED  
        diehard_opso|   0|   2097152|     100|0.99912829|   WEAK   
        diehard_oqso|   0|   2097152|     100|0.83716645|  PASSED  
         diehard_dna|   0|   2097152|     100|0.89866555|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.85375508|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.77680394|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.74215483|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.91522286|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.58013996|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.79568055|  PASSED  
        diehard_sums|   0|       100|     100|0.44050923|  PASSED  
        diehard_runs|   0|    100000|     100|0.89882565|  PASSED  
        diehard_runs|   0|    100000|     100|0.61373763|  PASSED  
       diehard_craps|   0|    200000|     100|0.12693565|  PASSED  
       diehard_craps|   0|    200000|     100|0.73263974|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.62712796|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00800709|  PASSED  
         sts_monobit|   1|    100000|     100|0.28202256|  PASSED  
            sts_runs|   2|    100000|     100|0.26241139|  PASSED  
          sts_serial|   1|    100000|     100|0.81461255|  PASSED  
          sts_serial|   2|    100000|     100|0.67118851|  PASSED  
          sts_serial|   3|    100000|     100|0.61609965|  PASSED  
          sts_serial|   3|    100000|     100|0.78805643|  PASSED  
          sts_serial|   4|    100000|     100|0.35896660|  PASSED  
          sts_serial|   4|    100000|     100|0.21053782|  PASSED  
          sts_serial|   5|    100000|     100|0.33339618|  PASSED  
          sts_serial|   5|    100000|     100|0.83537298|  PASSED  
          sts_serial|   6|    100000|     100|0.74169540|  PASSED  
          sts_serial|   6|    100000|     100|0.39972495|  PASSED  
          sts_serial|   7|    100000|     100|0.67152029|  PASSED  
          sts_serial|   7|    100000|     100|0.43113422|  PASSED  
          sts_serial|   8|    100000|     100|0.56428880|  PASSED  
          sts_serial|   8|    100000|     100|0.85725464|  PASSED  
          sts_serial|   9|    100000|     100|0.70773333|  PASSED  
          sts_serial|   9|    100000|     100|0.21176707|  PASSED  
          sts_serial|  10|    100000|     100|0.97907281|  PASSED  
          sts_serial|  10|    100000|     100|0.60910830|  PASSED  
          sts_serial|  11|    100000|     100|0.67044737|  PASSED  
          sts_serial|  11|    100000|     100|0.62817940|  PASSED  
          sts_serial|  12|    100000|     100|0.94595508|  PASSED  
          sts_serial|  12|    100000|     100|0.94162826|  PASSED  
          sts_serial|  13|    100000|     100|0.84403348|  PASSED  
          sts_serial|  13|    100000|     100|0.54926347|  PASSED  
