#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  1.24e+07  |2841947786|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.14967874|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.22397826|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.90172734|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.08421736|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.62277186|  PASSED  
        diehard_opso|   0|   2097152|     100|0.47044042|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.62790301|  PASSED  
         diehard_dna|   0|   2097152|     100|0.42691055|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.26772868|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.41262145|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.61281762|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.19990530|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.97225066|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.23958012|  PASSED  
        diehard_sums|   0|       100|     100|0.47243412|  PASSED  
        diehard_runs|   0|    100000|     100|0.05499098|  PASSED  
        diehard_runs|   0|    100000|     100|0.85315073|  PASSED  
       diehard_craps|   0|    200000|     100|0.19177351|  PASSED  
       diehard_craps|   0|    200000|     100|0.81825911|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.96050620|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.91446543|  PASSED  
         sts_monobit|   1|    100000|     100|0.62702804|  PASSED  
            sts_runs|   2|    100000|     100|0.96014316|  PASSED  
          sts_serial|   1|    100000|     100|0.86197644|  PASSED  
          sts_serial|   2|    100000|     100|0.29047829|  PASSED  
          sts_serial|   3|    100000|     100|0.25601647|  PASSED  
          sts_serial|   3|    100000|     100|0.28618807|  PASSED  
          sts_serial|   4|    100000|     100|0.14418270|  PASSED  
          sts_serial|   4|    100000|     100|0.68747491|  PASSED  
          sts_serial|   5|    100000|     100|0.28228812|  PASSED  
          sts_serial|   5|    100000|     100|0.96255470|  PASSED  
          sts_serial|   6|    100000|     100|0.12699794|  PASSED  
          sts_serial|   6|    100000|     100|0.17762064|  PASSED  
          sts_serial|   7|    100000|     100|0.06544444|  PASSED  
          sts_serial|   7|    100000|     100|0.06158871|  PASSED  
          sts_serial|   8|    100000|     100|0.49232528|  PASSED  
          sts_serial|   8|    100000|     100|0.30900218|  PASSED  
          sts_serial|   9|    100000|     100|0.50685014|  PASSED  
          sts_serial|   9|    100000|     100|0.93110182|  PASSED  
          sts_serial|  10|    100000|     100|0.79183855|  PASSED  
          sts_serial|  10|    100000|     100|0.55388126|  PASSED  
          sts_serial|  11|    100000|     100|0.74823162|  PASSED  
          sts_serial|  11|    100000|     100|0.39111933|  PASSED  
          sts_serial|  12|    100000|     100|0.90742730|  PASSED  
          sts_serial|  12|    100000|     100|0.71026785|  PASSED  
          sts_serial|  13|    100000|     100|0.40346002|  PASSED  
          sts_serial|  13|    100000|     100|0.89371361|  PASSED  
          sts_serial|  14|    100000|     100|0.95856320|  PASSED  
          sts_serial|  14|    100000|     100|0.23098821|  PASSED  
          sts_serial|  15|    100000|     100|0.56342111|  PASSED  
