$ ./xorshift32 | dieharder -a -g 200                                           
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  2.08e+07  |3628955822|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.53642569|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.03961164|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.00000000|  FAILED  
    diehard_rank_6x8|   0|    100000|     100|0.88957108|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.80640512|  PASSED  
        diehard_opso|   0|   2097152|     100|0.28845085|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.75556675|  PASSED  
         diehard_dna|   0|   2097152|     100|0.08450089|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.00000000|  FAILED  
diehard_count_1s_byt|   0|    256000|     100|0.19170438|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.66912419|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.98738804|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.78948668|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.29019454|  PASSED  
        diehard_sums|   0|       100|     100|0.54678793|  PASSED  
        diehard_runs|   0|    100000|     100|0.46966316|  PASSED  
        diehard_runs|   0|    100000|     100|0.31219271|  PASSED  
       diehard_craps|   0|    200000|     100|0.24277725|  PASSED  
       diehard_craps|   0|    200000|     100|0.54345280|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.07571716|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.24811787|  PASSED  
         sts_monobit|   1|    100000|     100|0.43000839|  PASSED  
            sts_runs|   2|    100000|     100|0.36578511|  PASSED  
          sts_serial|   1|    100000|     100|0.59517001|  PASSED  
          sts_serial|   2|    100000|     100|0.82307299|  PASSED  
          sts_serial|   3|    100000|     100|0.65305437|  PASSED  
          sts_serial|   3|    100000|     100|0.66190477|  PASSED  
          sts_serial|   4|    100000|     100|0.01736061|  PASSED  
          sts_serial|   4|    100000|     100|0.33172256|  PASSED  
          sts_serial|   5|    100000|     100|0.24105442|  PASSED  
          sts_serial|   5|    100000|     100|0.81024808|  PASSED  
          sts_serial|   6|    100000|     100|0.67651036|  PASSED  
          sts_serial|   6|    100000|     100|0.60045416|  PASSED  
          sts_serial|   7|    100000|     100|0.38037782|  PASSED  
          sts_serial|   7|    100000|     100|0.73726343|  PASSED  
          sts_serial|   8|    100000|     100|0.15241107|  PASSED  
          sts_serial|   8|    100000|     100|0.10499551|  PASSED  
          sts_serial|   9|    100000|     100|0.91503579|  PASSED  
          sts_serial|   9|    100000|     100|0.30793062|  PASSED  
          sts_serial|  10|    100000|     100|0.95062526|  PASSED  
          sts_serial|  10|    100000|     100|0.99348605|  PASSED  
          sts_serial|  11|    100000|     100|0.80898455|  PASSED  
          sts_serial|  11|    100000|     100|0.18821345|  PASSED  
          sts_serial|  12|    100000|     100|0.12581860|  PASSED  
          sts_serial|  12|    100000|     100|0.10190788|  PASSED  
          sts_serial|  13|    100000|     100|0.76218225|  PASSED  
          sts_serial|  13|    100000|     100|0.08648427|  PASSED  
          sts_serial|  14|    100000|     100|0.64157666|  PASSED  
          sts_serial|  14|    100000|     100|0.08202735|  PASSED  
          sts_serial|  15|    100000|     100|0.98503258|  PASSED  
          sts_serial|  15|    100000|     100|0.52435051|  PASSED  
          sts_serial|  16|    100000|     100|0.36452283|  PASSED  
          sts_serial|  16|    100000|     100|0.14360079|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.00000000|  FAILED  
         rgb_bitdist|   2|    100000|     100|0.05051504|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.25614480|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.93339049|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.70521924|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.49985336|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.93150381|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.39571891|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.62507471|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.76762647|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.69622258|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.36148502|  PASSED  
